age,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
15,0.000493016,0.0004752179,0.0005032473,0.0005051416,0.00048722,0.0004699601,0.0004816209,0.0004651435,0.0004721909,0.0004502087,0.0004472548,0.0004532272,0.0004561719,0.0004584316,0.0004625564,0.0004622259,0.0004604797,0.0004523926,0.0004533685,0.0004548728,0.0004536734,0.0004548111,0.000455814,0.0004541013,0.0004547464,0.0004548951,0.0004551056,0.0004554317,0.0004558901,0.0004538997,0.0004545361,0.0004551591,0.0004556853,0.0004560363,0.000456115,0.0004558906,0.0004553699,0.0004571957,0.00045625,0.0004577069,0.0004564731,0.0004576973,0.0004563096,0.0004574219,0.0004560147,0.0004571922,0.0004559872,0.0004574485,0.0004566016,0.0004559543,0.000455489,0.0004551843,0.0004550134,0.0004549534
16,0.0017674738,0.0018726395,0.0017153571,0.001846123,0.0019184573,0.0019250628,0.0019233496,0.0020354179,0.0020440314,0.0021048925,0.0020070551,0.0019897618,0.002014782,0.0020304435,0.0020445228,0.002064459,0.0020594345,0.0020544285,0.0020121526,0.0020226151,0.0020217432,0.0020225996,0.0020251165,0.0020244866,0.0020256498,0.0020285111,0.0020266262,0.0020275554,0.0020264483,0.0020259237,0.002025905,0.0020261766,0.0020263762,0.0020261398,0.0020276947,0.0020306054,0.0020321709,0.0020324213,0.0020316726,0.002032593,0.0020353473,0.0020349627,0.0020341679,0.0020356003,0.0020343421,0.0020356375,0.0020347026,0.0020343518,0.0020322217,0.0020309591,0.0020305728,0.002030983,0.0020296291,0.0020288649
17,0.0046294061,0.0045173861,0.0043374301,0.0042566717,0.0045557139,0.0047073073,0.0046963989,0.0046677306,0.0049124928,0.0048364596,0.0049782626,0.0047510136,0.0047115063,0.0047700622,0.0048034032,0.0048386717,0.0048853093,0.0048724548,0.0048590011,0.0047632397,0.0047847368,0.004785409,0.0047892624,0.0047910715,0.004791424,0.0047925507,0.004799282,0.0047982917,0.0047979337,0.0047962422,0.004793396,0.0047942713,0.0047932848,0.0047946761,0.0047975966,0.0047986951,0.004802062,0.0048048048,0.004807005,0.0048094078,0.0048122412,0.0048133892,0.0048131671,0.0048144858,0.0048150943,0.0048153006,0.004815602,0.0048140567,0.0048114101,0.0048104356,0.0048065494,0.0048047201,0.0048047825,0.00480158
18,0.0100313385,0.0098563336,0.0090378754,0.0092032057,0.0090329563,0.0096640246,0.0099785781,0.0099564389,0.0098948917,0.0102581482,0.0100993112,0.0103917784,0.0099208945,0.009836299,0.0099608044,0.0100325118,0.0101050361,0.0101997044,0.0101717902,0.0101462624,0.0099477268,0.0099912794,0.0099964504,0.0100003259,0.0100024378,0.0100065485,0.0100095377,0.0100209971,0.0100191334,0.010016057,0.0100154863,0.0100127407,0.0100099161,0.0100110472,0.010011825,0.0100155554,0.0100231342,0.0100298909,0.0100351485,0.0100415706,0.0100456435,0.0100478821,0.0100516617,0.0100525831,0.0100539918,0.0100564122,0.010055514,0.0100547968,0.0100504635,0.0100465651,0.0100436411,0.0100375885,0.0100357858,0.0100305545
19,0.0193821758,0.0193751696,0.018239186,0.0181327328,0.018148674,0.017510834,0.0184045868,0.0186801614,0.0183176283,0.0179397489,0.0185998353,0.0183110626,0.0188408286,0.0179876518,0.0178374897,0.0180587782,0.0181898085,0.018320329,0.0184907868,0.0184424257,0.0183966527,0.0180380395,0.0181157079,0.0181223383,0.0181296231,0.0181366503,0.018143267,0.0181508392,0.0181685296,0.0181666461,0.0181621453,0.0181571296,0.0181522821,0.0181493483,0.0181515142,0.0181530415,0.0181608577,0.0181719769,0.0181825576,0.0181939194,0.0182037326,0.0182123106,0.0182180861,0.0182224935,0.0182267757,0.0182299309,0.0182303324,0.018229277,0.0182285906,0.0182228677,0.0182149858,0.0182084539,0.0181997666,0.0181938415
20,0.0303699268,0.0304408589,0.029124411,0.028691915,0.0283936897,0.0282926044,0.0271744273,0.0284319523,0.028725275,0.0282438315,0.0276653617,0.0286807549,0.0282357559,0.0290492318,0.0277376872,0.027506538,0.0278479968,0.0280489071,0.0282514305,0.0285146008,0.0284389795,0.0283653475,0.0278141684,0.0279360936,0.0279446285,0.0279576603,0.0279661653,0.027976395,0.0279864527,0.0280177023,0.0280137917,0.028006063,0.0279977525,0.0279898411,0.0279863136,0.0279867399,0.0279937713,0.0280049987,0.0280208825,0.0280380471,0.0280571489,0.0280709042,0.0280811785,0.028091986,0.0281005385,0.0281060966,0.0281085683,0.0281118082,0.0281103708,0.0281069493,0.0280973375,0.0280884875,0.0280769136,0.0280648982
21,0.0418330714,0.040799982,0.0392878649,0.0387694806,0.0383752125,0.0381510324,0.0381919867,0.0368564041,0.0387385062,0.0394211577,0.0387625772,0.0379687022,0.0393594036,0.0387500882,0.0398656447,0.0380701895,0.0377515442,0.0382184967,0.0384953401,0.0387716776,0.0391329039,0.0390300208,0.0389299733,0.0381744535,0.0383399249,0.0383521527,0.0383700579,0.0383813694,0.0383939127,0.0384100045,0.038450425,0.0384446215,0.0384363936,0.0384251501,0.0384147493,0.0384086788,0.0384106462,0.0384188448,0.0384340826,0.0384551078,0.038481418,0.0385053687,0.0385248742,0.0385408959,0.0385530448,0.0385642377,0.0385719695,0.0385770403,0.0385789004,0.0385801664,0.0385746604,0.0385618848,0.0385480711,0.0385325567
22,0.0537245473,0.0552938955,0.0509201871,0.0512691492,0.0504564199,0.0498089592,0.0493856098,0.0493069686,0.0474579292,0.050007129,0.0508884309,0.0500373195,0.0490176957,0.0508077283,0.0500224374,0.0514617339,0.0491443221,0.0487359699,0.0493391187,0.0496936692,0.05005056,0.0505136283,0.0503806668,0.0502532545,0.0492801242,0.0494920404,0.049510259,0.0495301395,0.0495459638,0.0495623687,0.0495832571,0.049636245,0.0496287318,0.0496177744,0.0496040718,0.0495917438,0.0495840719,0.0495860268,0.0495963324,0.0496138255,0.0496430044,0.0496759604,0.0497068409,0.0497311658,0.0497516452,0.0497685069,0.0497831151,0.0497934557,0.0497989121,0.0498020016,0.0498012417,0.049793804,0.0497805865,0.0497623336
23,0.0673255292,0.0676048931,0.0649745934,0.0629551732,0.0634489272,0.0625115535,0.061774307,0.0613143364,0.0612800773,0.0592962721,0.0624760539,0.063573449,0.0625172333,0.0612424759,0.0634742985,0.0624965819,0.0642905703,0.0614028086,0.060891895,0.0616421827,0.0620840395,0.0625304934,0.0631083749,0.0629449317,0.0627849973,0.0615709327,0.0618354529,0.0618585566,0.061883593,0.0619018677,0.0619244585,0.061949691,0.0620143586,0.0620077951,0.0619920762,0.0619741762,0.0619586089,0.0619482148,0.0619515571,0.0619629583,0.0619864837,0.0620220793,0.0620642988,0.0621039482,0.0621341749,0.0621597747,0.0621813451,0.062198859,0.0622110603,0.0622184236,0.0622242318,0.0622225965,0.0622120157,0.0621949958
24,0.0758020126,0.0827924099,0.0806623834,0.0798146411,0.0769458707,0.077153113,0.0756272142,0.0743576314,0.0734272124,0.073700417,0.0713220955,0.0751372164,0.0764536192,0.0751832754,0.0736558858,0.0763346194,0.0751611227,0.0773141759,0.0738472721,0.0732337267,0.074136226,0.0746659998,0.0752038908,0.07589693,0.0756998734,0.0755072482,0.0740511501,0.0743694911,0.0743953492,0.0744261132,0.0744470352,0.0744737563,0.0745035798,0.0745848691,0.0745743732,0.0745539343,0.0745344257,0.0745157565,0.0745053292,0.0745078639,0.074523057,0.0745502191,0.0745922742,0.0746411556,0.0746893714,0.0747251918,0.0747553944,0.0747812052,0.0748037894,0.0748172771,0.0748284265,0.0748337098,0.0748307558,0.0748213494
