age,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
0,0.0027967194,0.0029191768,0.0028077179,0.0025984045,0.0025499329,0.0025053649,0.0024594131,0.0024150641,0.0023722348,0.0023308543,0.0022894258,0.0022455902,0.0022049489,0.0021648927,0.0021252856,0.002085883,0.0020462975,0.002011482,0.001975778,0.0019414883,0.0019058347,0.0018716556,0.001839253,0.0018061521,0.0017725282,0.001741189,0.0017096629,0.0016780683,0.001649137,0.0016178105,0.0015869134,0.0015592448,0.001529701,0.0015009429,0.0014729592,0.0014456453,0.0014189,0.0013926178,0.0013667039,0.0013411037,0.0013157522,0.0012905685,0.0012680347,0.0012455227,0.0012229481,0.0012002602,0.0011773788,0.0011568396,0.0011360468,0.0011149912,0.0010962621,0.0010747201,0.0010555421,0.0010361842
1,0.0005933866,0.0005694034,0.0005502582,0.0005252563,0.0005112288,0.0004946828,0.0004804549,0.0004659293,0.0004511802,0.0004361941,0.0004236121,0.0004105297,0.0003974868,0.0003845338,0.0003716722,0.0003588746,0.0003487558,0.000335931,0.0003256651,0.0003152467,0.0003072952,0.0002964585,0.0002881122,0.0002796391,0.0002710726,0.0002624449,0.0002537836,0.0002451194,0.00023647,0.0002304727,0.0002219078,0.0002160305,0.0002076541,0.0002019857,0.0001964291,0.0001883988,0.0001830439,0.0001777645,0.0001725452,0.0001673722,0.0001622382,0.0001571335,0.0001520474,0.0001469678,0.0001418882,0.0001367993,0.0001316948,0.0001291502,0.0001239964,0.0001213981,0.0001161899,0.000113539,0.0001108647,0.0001055939
2,0.0002184402,0.0002274432,0.0002260145,0.0001963927,0.000186173,0.00017985,0.0001726266,0.0001679098,0.0001630905,0.0001555583,0.0001505758,0.00014551,0.0001402706,0.0001350446,0.0001298484,0.0001246813,0.00012219,0.0001170493,0.0001118902,0.0001093596,0.0001041099,0.000101461,9.87414468557521E-005,9.59611037659402E-005,9.04777491264906E-005,8.76300842045445E-005,0.000084763,8.18855873441863E-005,7.90076637433831E-005,7.61350688628571E-005,7.32736850644678E-005,7.04320878157705E-005,6.76181757656458E-005,6.48400784305589E-005,6.46872372080988E-005,6.19805897453114E-005,5.93109103708995E-005,5.66722566119779E-005,5.4058785067419E-005,5.40377801279923E-005,5.1457534669514E-005,4.88893120244549E-005,4.89035313497375E-005,4.63495840124835E-005,4.12204339996445E-005,4.12427470762759E-005,0.000041264,4.12821194240112E-005,4.12941589412178E-005,4.12982092064033E-005,4.12930932139963E-005,4.12780723140229E-005,4.12530617506768E-005,4.12182040198054E-005
3,0.0001527209,0.0001634944,0.0001567267,0.0001379925,0.0001332832,0.0001238729,0.000119663,0.0001148555,0.0001099707,0.0001076336,0.0001026192,0.0001001803,9.5049253995369E-005,9.24426789360112E-005,8.72033105547716E-005,8.46254135405951E-005,8.20676820115583E-005,0.000079525,7.4332073227711E-005,7.17804475377977E-005,6.92058100939336E-005,6.65981150069528E-005,0.000063947,6.12516644474035E-005,5.85205992509363E-005,5.84223832083448E-005,5.56484501906622E-005,5.28666966244614E-005,5.00836924861281E-005,4.9934559445779E-005,4.71585654364394E-005,4.43958121691533E-005,4.42549292181456E-005,4.15257602458325E-005,4.14125832134094E-005,4.13151649895292E-005,4.12361568932679E-005,4.11757742332299E-005,4.11323742634734E-005,4.11039493188305E-005,0.000041088,4.10824190355389E-005,4.10863223632853E-005,4.10982479303179E-005,4.1115885122217E-005,4.11366043789915E-005,4.1158826767643E-005,0.00004118,0.000041198,0.00004121,4.12140632687389E-005,0.000041209,0.000041194,4.11690995031404E-005
4,0.0001297115,0.0001305867,0.0001196058,0.0001159139,0.0001111917,0.0001068992,0.0001004145,9.6026326785376E-005,9.37524414698299E-005,8.8814122490348E-005,0.000086427,8.13752949854443E-005,7.89012734665537E-005,7.63845355556843E-005,0.000073777,6.85408186937174E-005,6.59547075832085E-005,6.33832388306849E-005,6.0821942441287E-005,5.82624032711691E-005,5.56937585861211E-005,5.31057574606951E-005,5.31486594579368E-005,5.05011575396899E-005,4.78191797416702E-005,4.51101882686975E-005,4.50345441444496E-005,4.22957051354917E-005,3.9553728466291E-005,3.94438936908177E-005,3.67049446804048E-005,3.65904018148839E-005,3.38681019794603E-005,3.37607969625671E-005,0.000033659,3.35674447428217E-005,3.3488669237566E-005,3.3424780103514E-005,0.000033376,3.33408563983668E-005,3.3317870424239E-005,0.000033305,3.33004598025026E-005,3.33036162603625E-005,3.33132599587428E-005,3.33275223807131E-005,3.33442770960726E-005,3.33622472809768E-005,3.33793797597712E-005,0.000033394,3.34036523039527E-005,3.3406914203335E-005,3.34027940152471E-005,3.33906968381579E-005
5,0.0001083845,0.0001024438,0.0001031325,9.7624471200781E-005,9.41234684767058E-005,8.9801222353109E-005,8.58418221357445E-005,0.000082203,7.76793551577797E-005,7.53475731585962E-005,7.29706345317891E-005,7.05476588628763E-005,6.80899205966772E-005,6.55961376994123E-005,6.30654540581306E-005,6.04591742853989E-005,5.78586513148379E-005,5.52704303197789E-005,5.26937020487311E-005,5.01245198598624E-005,4.75553888181429E-005,4.7623205200454E-005,4.50315618270099E-005,4.24166909678959E-005,3.97734504263714E-005,3.97534227697005E-005,3.70602732401003E-005,3.69981791610399E-005,3.42827908301446E-005,3.41978371183324E-005,3.14797034611934E-005,3.13864164820535E-005,2.8681236734928E-005,2.8589696273463E-005,2.84993289703451E-005,2.84135672200424E-005,2.8336493281675E-005,2.82701495490911E-005,2.82163423924893E-005,2.81752191263633E-005,2.81456614742186E-005,2.81263024395732E-005,2.81154471378475E-005,2.81116389852209E-005,2.81142973981496E-005,2.81224194484427E-005,2.81344314287176E-005,2.81485424172945E-005,2.81636770496756E-005,2.8178106123871E-005,2.81903824666072E-005,2.81985485438013E-005,2.82012957213507E-005,2.81978256912953E-005
6,9.39354246142124E-005,8.70427617349469E-005,9.14524259100861E-005,8.12347684809098E-005,7.8461929730578E-005,7.78107802811384E-005,7.37886797624005E-005,7.00796312254072E-005,6.66446226760892E-005,6.45906374579192E-005,5.96264274696359E-005,5.72068991520377E-005,5.47482363246727E-005,5.22598464083114E-005,5.23593105325989E-005,4.98146371134777E-005,4.72095237345881E-005,4.46082997677744E-005,4.2015813701882E-005,4.20596616300222E-005,3.94824119015782E-005,3.69035788563581E-005,0.000036956,3.43574496200859E-005,3.43848939226022E-005,0.000031746,3.17300827626325E-005,2.90522623789049E-005,2.90036966529734E-005,2.63112888584847E-005,2.62462369457779E-005,2.35562628250764E-005,2.34865526438029E-005,2.34135377075025E-005,0.000023339,2.32653725949421E-005,2.31955175950887E-005,2.31327382222234E-005,2.30786983614124E-005,2.30348696738262E-005,2.30013724152208E-005,2.2977295878639E-005,2.29615266863966E-005,2.29526843164308E-005,2.29495823176018E-005,2.29517477755931E-005,2.29583637319075E-005,2.29681482823653E-005,2.29796425899589E-005,0.000022992,2.30037240473263E-005,2.30137238506563E-005,2.30203755902169E-005,2.30226133224189E-005
7,8.91752103724281E-005,8.07022659113629E-005,8.68393629674852E-005,7.51347057939592E-005,7.29353225767239E-005,7.01758174133194E-005,6.69179211546286E-005,6.30987811418776E-005,6.21486336363942E-005,5.62625312001309E-005,5.41308264746139E-005,5.4315214467504E-005,5.18851159762055E-005,4.94182946526804E-005,4.69235120684666E-005,4.4400682203423E-005,4.18501972190544E-005,4.18648706637152E-005,3.92672212943523E-005,3.66767702436123E-005,3.67148592903018E-005,3.41367729195606E-005,0.000034186,0.000031601,3.16387279122131E-005,2.90252783788063E-005,2.90307937546845E-005,2.63784034735082E-005,2.63478923003554E-005,2.36735574254743E-005,2.36235973489074E-005,2.35653296396861E-005,2.0889146521696E-005,2.08274213829928E-005,2.07628262359072E-005,2.06968633903532E-005,2.06317440013204E-005,2.0569941658503E-005,2.05143985434777E-005,2.04665870175322E-005,2.04278093983244E-005,2.03981723237598E-005,2.03768702146194E-005,2.03629181079795E-005,2.03550946257461E-005,2.0352350060421E-005,2.03542659997252E-005,2.03601196157027E-005,2.03687767021932E-005,2.03789465103601E-005,2.03898540086453E-005,2.04002529631367E-005,2.04091004178763E-005,0.000020415
8,7.60613271614999E-005,7.54767841498753E-005,8.3107169291901E-005,6.56297171359191E-005,6.42425799820121E-005,6.19758994589235E-005,5.92321361262183E-005,5.60725204597947E-005,5.50777776903527E-005,5.16669034733076E-005,4.84758182207844E-005,4.62874864351949E-005,4.64446611861966E-005,4.39965423893746E-005,4.15152010503346E-005,3.90084570334849E-005,3.90822446756955E-005,3.65300616314325E-005,3.65427432637368E-005,3.39488521370802E-005,3.13606606645847E-005,3.13931494915618E-005,2.8814367367467E-005,2.88557892583013E-005,2.62695412550011E-005,2.63008395227976E-005,2.63216772172723E-005,0.000023694,2.36821539182124E-005,2.36547665668786E-005,2.09914800830213E-005,2.09472339177612E-005,2.08956939198755E-005,1.82333926352722E-005,1.8179646068262E-005,1.81233996390854E-005,0.000018066,1.80092567579736E-005,1.7955439728719E-005,1.79070725262019E-005,1.7865437524565E-005,1.78316690442225E-005,1.78058601629491E-005,1.77873095169729E-005,1.77751594685735E-005,1.77683464522958E-005,0.000017766,1.77676248492925E-005,1.77727224256212E-005,1.77802613698421E-005,1.77891176343523E-005,1.77986162847168E-005,1.78076720539115E-005,1.78153767061404E-005
9,7.21490710807098E-005,6.77354416215323E-005,0.000067216,6.21753604227924E-005,5.7608815196158E-005,5.60678795127968E-005,5.64402338238258E-005,0.000053708,5.32651539362949E-005,4.97064702127437E-005,4.89613746292464E-005,4.5811551637254E-005,4.36075220410372E-005,4.37551154877666E-005,0.000041305,3.88228899759298E-005,3.89104049016734E-005,3.63848057051375E-005,3.64377422133846E-005,3.38467626873288E-005,3.38628969447852E-005,3.12811997382806E-005,3.13134423389054E-005,2.87411131171827E-005,2.87823245128592E-005,2.62024981461733E-005,2.62336367690653E-005,2.62542991414844E-005,2.36333366595066E-005,2.3621551253517E-005,2.35942419563297E-005,2.09378590515673E-005,2.08938384070538E-005,2.08425062071589E-005,2.07852674024651E-005,2.07241537421345E-005,2.06601965817705E-005,2.05948832012686E-005,2.05304029604841E-005,2.04692053598614E-005,2.04142042032846E-005,2.03668580302702E-005,2.03284570446997E-005,2.02991073467544E-005,0.000020278,2.02641944349456E-005,2.02564466141349E-005,2.02537285848467E-005,2.02556260001215E-005,2.02614230103916E-005,0.00002027,2.02800677354262E-005,2.02908696159446E-005,2.03011678246791E-005
