age,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
0,0.003620552,0.0035473129,0.0034134659,0.0033664006,0.0033063419,0.0032489719,0.0031897967,0.003134331,0.0030774116,0.0030265091,0.0029695995,0.0029155182,0.0028621419,0.0028095291,0.002757509,0.0027082868,0.0026613795,0.0026137437,0.0025675053,0.0025221773,0.0024776174,0.0024340554,0.0023918828,0.0023487918,0.0023075601,0.002265842,0.0022263992,0.0021843578,0.0021448779,0.0021056876,0.0020670488,0.0020292308,0.0019923466,0.0019564891,0.0019191686,0.0018827254,0.0018494867,0.0018143963,0.0017822424,0.0017504965,0.0017166223,0.0016854209,0.0016567768,0.0016257003,0.0015970078,0.001568166,0.0015390715,0.0015121253,0.0014848486,0.0014596923,0.0014317414,0.0014084022,0.0013823244,0.0013584658
1,0.0007834917,0.0007570003,0.0007333232,0.0006992731,0.000682485,0.0006624702,0.0006444446,0.0006260245,0.0006073114,0.0005908091,0.0005739875,0.0005590238,0.0005415816,0.0005267957,0.0005121405,0.0004975832,0.0004830586,0.0004684771,0.0004562997,0.0004439149,0.0004312424,0.000418267,0.0004075872,0.0003941824,0.0003831884,0.0003721039,0.0003634886,0.0003523298,0.0003411865,0.000332584,0.0003240416,0.0003131158,0.0003048221,0.0002966816,0.0002862388,0.0002784239,0.0002707426,0.0002631728,0.0002556929,0.0002482823,0.0002409289,0.0002336196,0.0002263384,0.0002215286,0.0002142588,0.0002094396,0.0002021352,0.0001972615,0.0001923466,0.0001849245,0.0001799266,0.0001748893,0.0001698173,0.0001647155
2,0.0002783247,0.0002749412,0.000264131,0.000255231,0.0002420979,0.000234083,0.0002274352,0.0002181036,0.0002111343,0.0002040626,0.0001994063,0.0001921176,0.0001871305,0.0001796304,0.0001747017,0.0001672813,0.000162425,0.0001575792,0.0001527145,0.0001478023,0.0001428211,0.0001377463,0.0001325753,0.0001298728,0.0001245681,0.0001217647,0.0001163985,0.0001135489,0.0001106918,0.0001053276,0.000102488,9.97E-005,9.69E-005,9.17E-005,8.90E-005,8.63E-005,8.37E-005,8.12E-005,7.87E-005,7.62E-005,7.37E-005,7.13E-005,0.000068829,6.64E-005,6.40E-005,6.15E-005,5.91E-005,5.91E-005,5.67E-005,5.42E-005,5.18E-005,5.17E-005,0.000049244,4.67E-005
3,0.0001618829,0.0001557208,0.0001526911,0.0001444468,0.0001398238,0.0001306503,0.0001267276,0.0001221985,0.0001175682,0.0001128589,0.0001080902,0.0001032597,0.0001008896,9.59E-005,9.34E-005,8.84E-005,8.60E-005,8.36E-005,7.86E-005,7.62E-005,7.37E-005,7.12E-005,6.87E-005,6.61E-005,6.35E-005,6.09E-005,5.82E-005,5.55E-005,5.29E-005,5.27E-005,5.00E-005,4.74E-005,4.47E-005,4.46E-005,4.45E-005,0.000044386,4.43E-005,4.42E-005,4.42E-005,4.42E-005,4.41E-005,4.41E-005,4.41E-005,4.41E-005,4.42E-005,4.42E-005,4.42E-005,4.42E-005,4.43E-005,4.43E-005,4.43E-005,4.43E-005,4.42E-005,4.42E-005
4,0.0001261557,0.0001249587,0.000119035,0.0001161173,0.0001111821,0.00010706,9.83E-005,9.66E-005,9.20E-005,8.73E-005,8.50E-005,8.02E-005,7.78E-005,0.000075448,7.30E-005,6.80E-005,6.55E-005,6.30E-005,6.06E-005,5.82E-005,5.57E-005,5.32E-005,5.07E-005,4.82E-005,4.82E-005,4.56E-005,4.30E-005,4.29E-005,4.03E-005,3.77E-005,3.75E-005,3.49E-005,3.48E-005,3.22E-005,0.000032128,3.20E-005,3.20E-005,3.19E-005,0.000031856,0.000031822,3.18E-005,0.000031787,3.18E-005,3.18E-005,3.18E-005,3.18E-005,3.18E-005,0.00003184,0.000031856,3.19E-005,3.19E-005,3.19E-005,3.19E-005,3.19E-005
5,0.0001164471,0.0001129421,0.0001090057,0.0001031949,0.0001029029,0.000095736,9.19E-005,8.58E-005,8.40E-005,7.93E-005,7.71E-005,7.48E-005,7.00E-005,6.76E-005,6.52E-005,6.27E-005,6.02E-005,5.78E-005,5.53E-005,5.29E-005,5.04E-005,4.80E-005,4.55E-005,4.55E-005,4.30E-005,0.000040456,0.000037883,3.78E-005,3.52E-005,3.51E-005,3.25E-005,3.24E-005,2.98E-005,2.98E-005,0.000029658,2.96E-005,2.95E-005,2.94E-005,0.000029362,2.93E-005,2.93E-005,2.93E-005,2.93E-005,2.93E-005,0.000029254,2.93E-005,2.93E-005,2.93E-005,2.93E-005,0.000029319,2.93E-005,2.93E-005,2.93E-005,2.93E-005
6,0.0001037047,0.0001009729,9.47E-005,9.32E-005,8.75E-005,0.000087215,8.29E-005,7.92E-005,7.33E-005,6.90E-005,0.000066758,6.45E-005,6.22E-005,5.98E-005,5.49E-005,5.25E-005,5.00E-005,5.00E-005,4.76E-005,4.51E-005,4.27E-005,4.02E-005,3.78E-005,3.78E-005,0.000035309,3.53E-005,3.28E-005,3.02E-005,0.000030168,2.76E-005,2.75E-005,2.50E-005,2.49E-005,2.48E-005,2.47E-005,2.46E-005,2.46E-005,0.000024504,2.44E-005,2.44E-005,0.000024364,2.43E-005,2.43E-005,2.43E-005,2.43E-005,2.43E-005,2.43E-005,2.43E-005,2.43E-005,2.44E-005,0.000024364,2.44E-005,2.44E-005,2.44E-005
7,0.0001054006,0.00009355,9.06E-005,8.68E-005,8.51E-005,0.000079497,7.93E-005,7.51E-005,7.16E-005,6.58E-005,6.39E-005,6.16E-005,5.93E-005,5.70E-005,5.22E-005,5.23E-005,4.99E-005,4.74E-005,0.000044904,4.24E-005,4.00E-005,4.00E-005,3.76E-005,3.51E-005,0.000035172,3.27E-005,3.02E-005,3.02E-005,2.76E-005,2.76E-005,2.50E-005,2.49E-005,2.49E-005,2.23E-005,2.23E-005,2.22E-005,2.21E-005,2.20E-005,0.000021987,2.19E-005,2.19E-005,2.19E-005,2.18E-005,2.18E-005,2.18E-005,2.18E-005,2.18E-005,2.18E-005,2.18E-005,2.18E-005,2.19E-005,2.19E-005,2.19E-005,2.19E-005
8,0.000093188,9.22E-005,8.10E-005,7.78E-005,7.63E-005,7.46E-005,6.90E-005,6.88E-005,6.49E-005,6.15E-005,5.83E-005,5.63E-005,5.41E-005,5.18E-005,4.94E-005,4.71E-005,4.47E-005,0.000042241,3.98E-005,3.98E-005,3.73E-005,3.49E-005,3.49E-005,3.25E-005,3.00E-005,3.01E-005,0.000027568,2.76E-005,0.000025053,2.50E-005,2.25E-005,2.24E-005,2.24E-005,1.98E-005,1.98E-005,1.97E-005,1.97E-005,1.96E-005,1.95E-005,1.95E-005,1.94E-005,1.94E-005,1.94E-005,1.94E-005,1.93E-005,1.93E-005,1.93E-005,1.93E-005,0.000019335,1.93E-005,1.94E-005,1.94E-005,1.94E-005,1.94E-005
9,9.17E-005,8.77E-005,8.68E-005,7.83E-005,7.50E-005,7.10E-005,6.92E-005,6.62E-005,6.60E-005,6.22E-005,5.89E-005,5.57E-005,5.37E-005,5.14E-005,4.91E-005,4.68E-005,4.44E-005,4.20E-005,3.96E-005,0.000039635,3.72E-005,3.47E-005,3.48E-005,3.23E-005,3.24E-005,2.99E-005,2.75E-005,2.75E-005,2.50E-005,0.000024967,0.000024938,2.24E-005,2.24E-005,1.98E-005,1.98E-005,1.97E-005,2.21E-005,2.20E-005,2.20E-005,2.19E-005,2.18E-005,2.18E-005,2.18E-005,2.17E-005,2.17E-005,2.17E-005,0.000021675,0.000021672,2.17E-005,2.17E-005,2.17E-005,2.17E-005,2.17E-005,2.17E-005
